timestamp,tagger,tagged
12:49:45,nikki,loki
12:49:49,marudhu,nikki
12:49:51,loki,shru
12:49:53,nitin,loki
12:49:55,nitin,marudhu
12:49:56,nikki,shru
12:49:59,nitin,nikki
12:50:04,nitin,shru
12:50:07,nikki,nitin
12:50:10,nikki,shru
12:50:15,shru,nikki
12:50:16,marudhu,shru
12:50:20,loki,nikki
12:50:25,nikki,loki
12:50:29,nikki,shru
12:50:31,nikki,loki
12:50:34,loki,shru
12:50:38,nitin,nikki
12:50:40,marudhu,shru
12:50:47,nikki,shru
12:50:47,loki,nitin
12:50:53,loki,nikki
12:50:54,marudhu,loki
12:50:57,shru,marudhu
12:50:58,nikki,shru
12:51:03,marudhu,nitin
12:51:03,shru,loki
12:51:15,shru,loki
12:51:16,nitin,shru
12:51:16,nitin,marudhu
12:51:22,shru,loki
12:51:26,marudhu,shru
12:51:27,nikki,nitin
12:51:29,marudhu,loki
12:51:32,nitin,nikki
12:51:36,loki,nitin
12:51:37,marudhu,shru
12:51:43,nitin,loki
12:51:44,shru,nitin
12:51:45,marudhu,nikki
12:51:50,shru,nitin
12:51:50,nikki,marudhu
12:51:55,nitin,nikki
12:52:00,nikki,shru
12:52:01,nikki,marudhu
12:52:05,loki,nikki
12:52:06,nitin,loki
12:52:11,loki,nikki
12:52:17,marudhu,loki
12:52:23,loki,marudhu
12:52:29,nikki,shru
12:52:30,nitin,marudhu
12:52:34,shru,nikki
12:52:37,nitin,marudhu
12:52:41,nikki,loki
12:52:43,nitin,marudhu
12:52:48,shru,nikki
12:52:49,nitin,marudhu
12:52:50,loki,nitin
12:52:53,nikki,loki
12:52:55,shru,nitin
12:52:59,marudhu,loki
12:53:00,nitin,shru
12:53:02,nitin,nikki
12:53:06,loki,nitin
12:53:07,shru,loki
12:53:10,marudhu,shru
12:53:12,nikki,loki
12:53:14,marudhu,nitin
12:53:16,nikki,shru
12:53:18,nikki,loki
12:53:22,marudhu,nitin
12:53:23,shru,loki
12:53:25,shru,marudhu
12:53:28,loki,nikki
12:53:28,nikki,nitin
12:53:30,shru,marudhu
12:53:34,loki,shru
12:53:35,nikki,marudhu
12:53:41,nitin,nikki
12:53:42,loki,shru
12:53:46,nitin,nikki
12:53:49,marudhu,shru
12:53:51,loki,marudhu
12:53:55,nikki,loki
12:53:56,nitin,shru
12:54:01,nitin,loki
12:54:02,marudhu,nikki
12:54:05,shru,marudhu
12:54:06,loki,shru
12:54:11,nitin,loki
12:54:15,nikki,marudhu
12:54:16,shru,loki
12:54:19,nikki,shru
12:54:21,nikki,marudhu
12:54:24,nikki,loki
12:54:28,marudhu,nikki
12:54:30,marudhu,loki
12:54:36,marudhu,shru
12:54:36,shru,loki
12:54:38,nitin,marudhu
12:54:41,nikki,loki
12:54:44,nikki,shru
12:54:44,nitin,marudhu
12:54:47,loki,nikki
12:54:50,loki,shru
12:54:52,nitin,marudhu
12:54:58,shru,nitin
12:55:03,loki,shru
12:55:07,marudhu,nikki
12:55:11,nitin,loki
12:55:14,nikki,marudhu
12:55:16,nitin,shru
12:55:19,loki,nikki
12:55:20,marudhu,loki
12:55:22,nitin,shru
12:55:28,shru,loki
12:55:29,nikki,nitin
12:55:29,shru,loki
12:55:34,loki,shru
12:55:34,nikki,nitin
12:55:37,loki,shru
12:55:40,nitin,nikki
12:55:42,marudhu,loki
12:55:44,marudhu,shru
12:55:47,nikki,loki
12:55:53,nikki,marudhu
12:55:59,nikki,shru
12:56:04,shru,nikki
12:56:10,shru,nikki
12:56:15,nikki,nitin
12:56:15,shru,marudhu
12:56:15,marudhu,shru
12:56:18,loki,nikki
12:56:21,nitin,shru
12:56:24,nikki,loki
12:56:27,nitin,shru
12:56:31,nikki,loki
12:56:33,nitin,shru
12:56:38,nitin,loki
12:56:39,nikki,nitin
12:56:43,shru,nikki
12:56:45,shru,marudhu
12:56:49,nikki,loki
12:56:51,marudhu,nitin
12:56:53,nikki,shru
